qid,type,rr
QE:HP:0410282:0,QE,1.0
QE:HP:0410282:1,QE,1.0
QE:HP:3000013:0,QE,1.0
QE:HP:3000013:1,QE,1.0
QE:HP:0031333:0,QE,1.0
QE:HP:0031333:1,QE,0.125
QE:HP:0002979:0,QE,1.0
QE:HP:0002979:1,QE,1.0
QE:HP:0003344:0,QE,1.0
QE:HP:0003344:1,QE,1.0
QE:HP:0040408:0,QE,1.0
QE:HP:6000246:0,QE,1.0
QE:HP:0007105:0,QE,1.0
QE:HP:0012835:0,QE,1.0
QE:HP:0012835:1,QE,1.0
QE:HP:0012420:0,QE,1.0
QE:HP:0012420:1,QE,1.0
QE:HP:6000682:0,QE,1.0
QE:HP:0011410:0,QE,1.0
QE:HP:0011410:1,QE,1.0
QE:HP:0002270:0,QE,1.0
QE:HP:0031450:0,QE,1.0
QE:HP:0020071:0,QE,1.0
QE:HP:0031812:0,QE,1.0
QE:HP:0430067:0,QE,0.5
QE:HP:0000044:0,QE,1.0
QE:HP:0000044:1,QE,1.0
QE:HP:0034248:0,QE,1.0
QE:HP:0003419:0,QE,1.0
QE:HP:0003419:1,QE,0.0
QE:HP:0000528:0,QE,1.0
QE:HP:0000528:1,QE,1.0
QE:HP:6000350:0,QE,1.0
QE:HP:0002209:0,QE,0.5
QE:HP:0002209:1,QE,1.0
QE:HP:0025145:0,QE,0.5
QE:HP:0025145:1,QE,1.0
QE:HP:4000192:0,QE,0.3333333333333333
QE:HP:0040209:0,QE,1.0
QE:HP:0040209:1,QE,1.0
QE:HP:0100887:0,QE,1.0
QE:HP:0100887:1,QE,0.5
QE:HP:6000419:0,QE,1.0
QE:HP:6000419:1,QE,1.0
QE:HP:0011947:0,QE,1.0
QE:HP:0011947:1,QE,1.0
QE:HP:0031197:0,QE,1.0
QE:HP:0031197:1,QE,1.0
QE:HP:0034938:0,QE,0.3333333333333333
QE:HP:0032367:0,QE,1.0
